sample_id,lon,lat,elevation,system,observed_age,sigma,reference,exhumation_rate_km_per_myr
LME-14,103.66,31.28,2300.0,AHe,10.1,0.6,"(E. Wang et al., 2012)",0.2
LME-15,103.66,31.28,2300.0,AHe,7.7,1.9,"(E. Wang et al., 2012)",0.24
LME-16,103.65,31.27,2579.0,AHe,2.1,0.2,"(E. Wang et al., 2012)",0.72
LME-17,103.65,31.23,1623.0,AHe,2.5,0.1,"(E. Wang et al., 2012)",0.66
LME-18,103.64,31.22,1718.0,AHe,2.9,0.4,"(E. Wang et al., 2012)",0.59
LME-19,103.66,31.17,1201.0,AHe,4.7,0.4,"(E. Wang et al., 2012)",0.42
LME-20,103.67,31.16,1793.0,AHe,4.1,0.3,"(E. Wang et al., 2012)",0.49
LMW-01,103.64,31.38,3901.0,ZFT,242.4,19.7,"(E. Wang et al., 2012)",0.07
LMW-05,103.65,31.41,2553.0,ZFT,297.1,15.6,"(E. Wang et al., 2012)",0.06
LMW-07,103.66,31.43,2171.0,ZFT,174.6,10.8,"(E. Wang et al., 2012)",0.09
LME-11,103.65,31.29,3240.0,ZFT,263.1,17.6,"(E. Wang et al., 2012)",0.07
LME-17,103.65,31.23,1623.0,ZFT,194.8,13.2,"(E. Wang et al., 2012)",0.09
LME-18,103.64,31.22,1718.0,ZFT,197.0,23.4,"(E. Wang et al., 2012)",0.09
LME-20,103.67,31.16,1793.0,ZFT,369.6,21.4,"(E. Wang et al., 2012)",0.05
